batch_idx,mc_draw,accuracy,fault_layer,fault_location,fault_category,fault_type,fault_value
41,80,1.0,1,In0_Out3,Connection,stuck_on,stuck_on
41,81,0.5,1,In1_Out4,Connection,stuck_on,stuck_on
41,82,0.5,0,In0_Out0,Connection,stuck_off,stuck_off
41,83,1.0,2,In4_Out2,Connection,stuck_off,stuck_off
41,84,0.5,1,N3,Neuron,dynamic,Idx_0
41,85,1.0,1,In1_Out1,Connection,stuck_on,stuck_on
41,86,1.0,1,In0_Out3,Connection,stuck_on,stuck_on
41,87,1.0,1,In1_Out3,Connection,stuck_on,stuck_on
41,88,1.0,2,In3_Out1,Connection,stuck_off,stuck_off
41,89,1.0,1,In3_Out0,Connection,stuck_on,stuck_on
41,90,0.5,1,In3_Out4,Connection,stuck_on,stuck_on
41,91,1.0,1,In3_Out3,Connection,stuck_off,stuck_off
41,92,1.0,1,In3_Out0,Connection,stuck_off,stuck_off
41,93,1.0,1,In4_Out1,Connection,stuck_on,stuck_on
41,94,1.0,1,N1,Neuron,dynamic,Idx_0
41,95,1.0,2,In3_Out1,Connection,stuck_off,stuck_off
41,96,0.0,1,N3,Neuron,dynamic,Idx_2
41,97,0.5,2,In0_Out1,Connection,stuck_on,stuck_on
41,98,1.0,2,In4_Out0,Connection,stuck_on,stuck_on
41,99,1.0,2,In3_Out1,Connection,stuck_off,stuck_off
42,0,1.0,1,In3_Out2,Connection,stuck_on,stuck_on
42,1,1.0,2,In3_Out0,Connection,stuck_off,stuck_off
42,2,1.0,0,In0_Out2,Connection,stuck_off,stuck_off
42,3,1.0,2,In0_Out1,Connection,stuck_on,stuck_on
42,4,1.0,1,In1_Out0,Connection,stuck_on,stuck_on
42,5,1.0,0,In0_Out3,Connection,stuck_off,stuck_off
42,6,0.0,2,N0,Neuron,static,2.0
42,7,1.0,1,In4_Out1,Connection,stuck_off,stuck_off
42,8,1.0,1,In2_Out3,Connection,stuck_off,stuck_off
42,9,0.0,0,N0,Neuron,dynamic,Idx_0
42,10,1.0,1,In0_Out0,Connection,stuck_on,stuck_on
42,11,1.0,1,In0_Out0,Connection,stuck_off,stuck_off
42,12,0.5,2,In0_Out0,Connection,stuck_on,stuck_on
42,13,0.5,2,In0_Out0,Connection,stuck_on,stuck_on
42,14,0.5,1,N1,Neuron,static,0.0
42,15,1.0,1,In1_Out1,Connection,stuck_off,stuck_off
42,16,1.0,1,In3_Out2,Connection,stuck_off,stuck_off
42,17,0.5,2,N1,Neuron,dynamic,Idx_0
42,18,0.5,2,N2,Neuron,dynamic,Idx_1
42,19,1.0,1,N0,Neuron,dynamic,Idx_1
42,20,0.5,2,In4_Out1,Connection,stuck_on,stuck_on
42,21,1.0,1,In1_Out2,Connection,stuck_off,stuck_off
42,22,1.0,1,In2_Out4,Connection,stuck_off,stuck_off
42,23,1.0,1,In4_Out0,Connection,stuck_on,stuck_on
42,24,1.0,1,In4_Out4,Connection,stuck_off,stuck_off
42,25,0.0,0,N0,Neuron,dynamic,Idx_0
42,26,1.0,1,In2_Out0,Connection,stuck_on,stuck_on
42,27,1.0,0,In0_Out0,Connection,stuck_on,stuck_on
42,28,1.0,1,In1_Out1,Connection,stuck_on,stuck_on
42,29,0.5,2,N1,Neuron,static,0.0
42,30,0.5,1,N3,Neuron,static,3.0
42,31,1.0,1,N0,Neuron,dynamic,Idx_0
42,32,0.0,2,N0,Neuron,dynamic,Idx_2
42,33,0.5,2,In3_Out2,Connection,stuck_on,stuck_on
42,34,0.0,0,N0,Neuron,dynamic,Idx_0
42,35,1.0,1,In3_Out1,Connection,stuck_off,stuck_off
42,36,1.0,1,In2_Out2,Connection,stuck_on,stuck_on
42,37,1.0,1,N1,Neuron,static,3.0
42,38,1.0,2,In1_Out0,Connection,stuck_off,stuck_off
42,39,0.5,1,N0,Neuron,static,0.0
42,40,0.5,1,N4,Neuron,dynamic,Idx_2
42,41,0.5,2,In3_Out2,Connection,stuck_on,stuck_on
42,42,1.0,2,In0_Out1,Connection,stuck_on,stuck_on
42,43,1.0,2,In4_Out0,Connection,stuck_on,stuck_on
42,44,0.5,1,N2,Neuron,dynamic,Idx_2
42,45,1.0,1,In0_Out1,Connection,stuck_off,stuck_off
42,46,1.0,1,In3_Out1,Connection,stuck_on,stuck_on
42,47,1.0,1,In1_Out0,Connection,stuck_off,stuck_off
42,48,1.0,2,In2_Out2,Connection,stuck_on,stuck_on
42,49,1.0,2,In3_Out1,Connection,stuck_off,stuck_off
42,50,1.0,1,In0_Out3,Connection,stuck_on,stuck_on
42,51,1.0,0,In0_Out3,Connection,stuck_off,stuck_off
42,52,1.0,2,In1_Out1,Connection,stuck_off,stuck_off
42,53,1.0,2,In3_Out0,Connection,stuck_on,stuck_on
42,54,1.0,1,In3_Out4,Connection,stuck_off,stuck_off
42,55,1.0,0,In0_Out3,Connection,stuck_off,stuck_off
42,56,0.5,1,In4_Out4,Connection,stuck_on,stuck_on
42,57,1.0,1,In4_Out3,Connection,stuck_off,stuck_off
42,58,0.0,2,N0,Neuron,static,3.0
42,59,0.5,0,N4,Neuron,static,0.0
42,60,0.5,2,In4_Out1,Connection,stuck_off,stuck_off
42,61,0.5,2,In0_Out2,Connection,stuck_off,stuck_off
42,62,0.0,1,N4,Neuron,static,3.0
42,63,1.0,2,In0_Out1,Connection,stuck_on,stuck_on
42,64,1.0,1,In0_Out4,Connection,stuck_on,stuck_on
42,65,1.0,1,In0_Out0,Connection,stuck_on,stuck_on
42,66,0.5,1,In2_Out4,Connection,stuck_on,stuck_on
42,67,0.5,2,In0_Out2,Connection,stuck_on,stuck_on
42,68,0.5,2,N1,Neuron,dynamic,Idx_1
42,69,0.5,2,In0_Out2,Connection,stuck_off,stuck_off
42,70,0.5,2,In0_Out0,Connection,stuck_on,stuck_on
42,71,1.0,0,In0_Out3,Connection,stuck_on,stuck_on
42,72,1.0,1,In3_Out1,Connection,stuck_on,stuck_on
42,73,1.0,1,In3_Out3,Connection,stuck_off,stuck_off
42,74,0.5,1,N1,Neuron,static,0.0
42,75,0.5,2,In4_Out1,Connection,stuck_off,stuck_off
42,76,1.0,1,In1_Out3,Connection,stuck_off,stuck_off
42,77,0.5,2,In0_Out2,Connection,stuck_off,stuck_off
42,78,1.0,0,N1,Neuron,dynamic,Idx_0
42,79,1.0,1,In2_Out0,Connection,stuck_off,stuck_off
42,80,1.0,2,N0,Neuron,dynamic,Idx_0
42,81,1.0,1,N0,Neuron,static,3.0
42,82,1.0,0,In0_Out2,Connection,stuck_off,stuck_off
42,83,0.5,1,N0,Neuron,static,0.0
42,84,1.0,1,In3_Out3,Connection,stuck_off,stuck_off
42,85,1.0,1,In4_Out3,Connection,stuck_off,stuck_off
42,86,1.0,0,In0_Out1,Connection,stuck_off,stuck_off
42,87,0.0,1,N4,Neuron,static,0.0
42,88,0.5,0,N4,Neuron,static,3.0
42,89,0.5,1,N3,Neuron,static,3.0
42,90,1.0,2,In2_Out1,Connection,stuck_off,stuck_off
42,91,1.0,2,In0_Out0,Connection,stuck_off,stuck_off
42,92,0.5,2,In3_Out1,Connection,stuck_on,stuck_on
42,93,0.0,1,N4,Neuron,dynamic,Idx_1
42,94,1.0,2,In1_Out1,Connection,stuck_off,stuck_off
42,95,1.0,1,In4_Out1,Connection,stuck_off,stuck_off
42,96,0.5,0,N0,Neuron,static,3.0
42,97,0.5,2,In2_Out0,Connection,stuck_off,stuck_off
42,98,0.5,2,In0_Out0,Connection,stuck_on,stuck_on
42,99,1.0,1,In3_Out0,Connection,stuck_off,stuck_off
43,0,0.0,1,In4_Out4,Connection,stuck_on,stuck_on
43,1,0.0,0,In0_Out1,Connection,stuck_off,stuck_off
43,2,0.0,1,In4_Out2,Connection,stuck_off,stuck_off
43,3,0.0,1,In3_Out3,Connection,stuck_off,stuck_off
43,4,0.0,1,In0_Out1,Connection,stuck_off,stuck_off
43,5,0.0,1,In0_Out4,Connection,stuck_on,stuck_on
43,6,0.0,1,N3,Neuron,static,0.0
43,7,1.0,0,N3,Neuron,static,3.0
43,8,0.0,1,In3_Out2,Connection,stuck_on,stuck_on
43,9,0.0,2,In1_Out1,Connection,stuck_on,stuck_on
43,10,0.0,1,In0_Out4,Connection,stuck_on,stuck_on
43,11,0.0,1,In3_Out3,Connection,stuck_on,stuck_on
43,12,0.0,1,In1_Out3,Connection,stuck_off,stuck_off
43,13,0.0,0,In0_Out4,Connection,stuck_on,stuck_on
43,14,0.0,1,In3_Out3,Connection,stuck_on,stuck_on
43,15,0.0,0,N3,Neuron,dynamic,Idx_0
43,16,0.0,0,N4,Neuron,dynamic,Idx_1
43,17,0.0,1,In0_Out0,Connection,stuck_off,stuck_off
43,18,0.5,0,N1,Neuron,static,2.0
43,19,0.0,1,In3_Out2,Connection,stuck_off,stuck_off
43,20,0.0,2,In3_Out1,Connection,stuck_off,stuck_off
43,21,0.0,1,N4,Neuron,dynamic,Idx_1
43,22,1.0,2,In4_Out0,Connection,stuck_off,stuck_off
43,23,0.0,1,In1_Out0,Connection,stuck_off,stuck_off
43,24,0.0,1,In1_Out4,Connection,stuck_off,stuck_off
43,25,0.0,1,In4_Out3,Connection,stuck_off,stuck_off
43,26,0.0,1,In3_Out2,Connection,stuck_off,stuck_off
43,27,0.0,2,N1,Neuron,dynamic,Idx_2
43,28,0.0,1,In1_Out1,Connection,stuck_on,stuck_on
43,29,0.0,1,In3_Out0,Connection,stuck_off,stuck_off
43,30,0.0,2,In2_Out1,Connection,stuck_off,stuck_off
43,31,0.0,2,In2_Out2,Connection,stuck_on,stuck_on
43,32,0.0,1,In4_Out4,Connection,stuck_off,stuck_off
