run,method,dataset,metric,value,roc_mode
PSNN_wSurrGPT_woFaults_acuteinflammation_run5,woFaults,acuteinflammation,test_roc_micro_auc,0.5,generic
PSNN_wSurrGPT_woFaults_acuteinflammation_run5,woFaults,acuteinflammation,test_roc_micro_auc_mode_none,0.5,none
PSNN_wSurrGPT_woFaults_acuteinflammation_run5,woFaults,acuteinflammation,test_roc_micro_auc_mode_single,0.5,single
PSNN_wSurrGPT_woFaults_cbf_run4,woFaults,cbf,test_acc_mode_none,0.7200000286102295,
PSNN_wSurrGPT_woFaults_cbf_run4,woFaults,cbf,test_acc_mode_single,0.5099999904632568,
PSNN_wSurrGPT_woFaults_cbf_run4,woFaults,cbf,val_loss,1.0715845823287964,
PSNN_wSurrGPT_woFaults_cbf_run4,woFaults,cbf,val_power,0.002452592831104994,
PSNN_wSurrGPT_woFaults_cbf_run4,woFaults,cbf,test_roc_micro_auc,0.8579999804496765,generic
PSNN_wSurrGPT_woFaults_cbf_run4,woFaults,cbf,test_roc_micro_auc_mode_none,0.8579999804496765,none
PSNN_wSurrGPT_woFaults_cbf_run4,woFaults,cbf,test_roc_micro_auc_mode_single,0.7674000263214111,single
PSNN_wSurrGPT_wFaults_cbf_run4,wFaults,cbf,test_acc_mode_none,0.41999998688697815,
PSNN_wSurrGPT_wFaults_cbf_run4,wFaults,cbf,test_acc_mode_single,0.4300000071525574,
PSNN_wSurrGPT_wFaults_cbf_run4,wFaults,cbf,val_loss,1.13207745552063,
PSNN_wSurrGPT_wFaults_cbf_run4,wFaults,cbf,val_power,0.0023148206528276205,
PSNN_wSurrGPT_wFaults_cbf_run4,wFaults,cbf,test_roc_micro_auc,0.7347999811172485,generic
PSNN_wSurrGPT_wFaults_cbf_run4,wFaults,cbf,test_roc_micro_auc_mode_none,0.7347999811172485,none
PSNN_wSurrGPT_wFaults_cbf_run4,wFaults,cbf,test_roc_micro_auc_mode_single,0.7091500163078308,single
PSNN_wSurrGPT_wFaults_acuteinflammation_run5,wFaults,acuteinflammation,test_acc_mode_none,0.6800000071525574,
PSNN_wSurrGPT_wFaults_acuteinflammation_run5,wFaults,acuteinflammation,test_acc_mode_single,0.6800000071525574,
PSNN_wSurrGPT_wFaults_acuteinflammation_run5,wFaults,acuteinflammation,val_loss,0.7220091819763184,
PSNN_wSurrGPT_wFaults_acuteinflammation_run5,wFaults,acuteinflammation,val_power,0.0012967443326488135,
PSNN_wSurrGPT_wFaults_acuteinflammation_run5,wFaults,acuteinflammation,test_roc_micro_auc,0.5,generic
PSNN_wSurrGPT_wFaults_acuteinflammation_run5,wFaults,acuteinflammation,test_roc_micro_auc_mode_none,0.5,none
PSNN_wSurrGPT_wFaults_acuteinflammation_run5,wFaults,acuteinflammation,test_roc_micro_auc_mode_single,0.6654411554336548,single
PSNN_wSurrGPT_woFaults_acuteinflammation_run6,woFaults,acuteinflammation,test_acc_mode_none,0.6800000071525574,
PSNN_wSurrGPT_woFaults_acuteinflammation_run6,woFaults,acuteinflammation,test_acc_mode_single,0.6800000071525574,
