,run,method,dataset,metric,value,roc_mode
114,PSNN_wSurrGPT_wFaults_cbf_run4,wFaults,cbf,val_loss,1.13207745552063,
115,PSNN_wSurrGPT_wFaults_cbf_run4,wFaults,cbf,val_power,0.0023148206528276205,
116,PSNN_wSurrGPT_wFaults_cbf_run4,wFaults,cbf,test_roc_micro_auc,0.7347999811172485,generic
117,PSNN_wSurrGPT_wFaults_cbf_run4,wFaults,cbf,test_roc_micro_auc_mode_none,0.7347999811172485,none
118,PSNN_wSurrGPT_wFaults_cbf_run4,wFaults,cbf,test_roc_micro_auc_mode_single,0.7091500163078308,single
119,PSNN_wSurrGPT_wFaults_acuteinflammation_run5,wFaults,acuteinflammation,test_acc_mode_none,0.6800000071525574,
120,PSNN_wSurrGPT_wFaults_acuteinflammation_run5,wFaults,acuteinflammation,test_acc_mode_single,0.6800000071525574,
121,PSNN_wSurrGPT_wFaults_acuteinflammation_run5,wFaults,acuteinflammation,val_loss,0.7220091819763184,
122,PSNN_wSurrGPT_wFaults_acuteinflammation_run5,wFaults,acuteinflammation,val_power,0.0012967443326488135,
123,PSNN_wSurrGPT_wFaults_acuteinflammation_run5,wFaults,acuteinflammation,test_roc_micro_auc,0.5,generic
124,PSNN_wSurrGPT_wFaults_acuteinflammation_run5,wFaults,acuteinflammation,test_roc_micro_auc_mode_none,0.5,none
125,PSNN_wSurrGPT_wFaults_acuteinflammation_run5,wFaults,acuteinflammation,test_roc_micro_auc_mode_single,0.6654411554336548,single
126,PSNN_wSurrGPT_woFaults_acuteinflammation_run6,woFaults,acuteinflammation,test_acc_mode_none,0.6800000071525574,
127,PSNN_wSurrGPT_woFaults_acuteinflammation_run6,woFaults,acuteinflammation,test_acc_mode_single,0.6800000071525574,
128,PSNN_wSurrGPT_woFaults_acuteinflammation_run6,woFaults,acuteinflammation,val_loss,0.7262832522392273,
129,PSNN_wSurrGPT_woFaults_acuteinflammation_run6,woFaults,acuteinflammation,val_power,0.002531590638682246,
130,PSNN_wSurrGPT_woFaults_acuteinflammation_run6,woFaults,acuteinflammation,test_roc_micro_auc,1.0,generic
131,PSNN_wSurrGPT_woFaults_acuteinflammation_run6,woFaults,acuteinflammation,test_roc_micro_auc_mode_none,1.0,none
132,PSNN_wSurrGPT_woFaults_acuteinflammation_run6,woFaults,acuteinflammation,test_roc_micro_auc_mode_single,1.0,single
133,PSNN_wSurrGPT_wFaults_acuteinflammation_run6,wFaults,acuteinflammation,test_acc_mode_none,0.6800000071525574,
134,PSNN_wSurrGPT_wFaults_acuteinflammation_run6,wFaults,acuteinflammation,test_acc_mode_single,0.6800000071525574,
135,PSNN_wSurrGPT_wFaults_acuteinflammation_run6,wFaults,acuteinflammation,val_loss,0.7281636595726013,
136,PSNN_wSurrGPT_wFaults_acuteinflammation_run6,wFaults,acuteinflammation,val_power,0.0005378720816224813,
137,PSNN_wSurrGPT_wFaults_acuteinflammation_run6,wFaults,acuteinflammation,test_roc_micro_auc,1.0,generic
138,PSNN_wSurrGPT_wFaults_acuteinflammation_run6,wFaults,acuteinflammation,test_roc_micro_auc_mode_none,1.0,none
139,PSNN_wSurrGPT_wFaults_acuteinflammation_run6,wFaults,acuteinflammation,test_roc_micro_auc_mode_single,1.0,single
140,PSNN_wSurrGPT_woFaults_cbf_run5,woFaults,cbf,test_acc_mode_none,0.5899999737739563,
141,PSNN_wSurrGPT_woFaults_cbf_run5,woFaults,cbf,test_acc_mode_single,0.5799999833106995,
142,PSNN_wSurrGPT_woFaults_cbf_run5,woFaults,cbf,val_loss,1.0781121253967283,
143,PSNN_wSurrGPT_woFaults_cbf_run5,woFaults,cbf,val_power,0.0030724238604307175,
144,PSNN_wSurrGPT_woFaults_cbf_run5,woFaults,cbf,test_roc_micro_auc,0.7124500274658203,generic
145,PSNN_wSurrGPT_woFaults_cbf_run5,woFaults,cbf,test_roc_micro_auc_mode_none,0.7124500274658203,none
146,PSNN_wSurrGPT_woFaults_cbf_run5,woFaults,cbf,test_roc_micro_auc_mode_single,0.7133499979972839,single
147,PSNN_wSurrGPT_wFaults_cbf_run5,wFaults,cbf,test_acc_mode_none,0.7799999713897705,
148,PSNN_wSurrGPT_wFaults_cbf_run5,wFaults,cbf,test_acc_mode_single,0.4099999964237213,
149,PSNN_wSurrGPT_wFaults_cbf_run5,wFaults,cbf,val_loss,1.1274335384368896,
150,PSNN_wSurrGPT_wFaults_cbf_run5,wFaults,cbf,val_power,0.009820006787776949,
151,PSNN_wSurrGPT_wFaults_cbf_run5,wFaults,cbf,test_roc_micro_auc,0.8363000154495239,generic
152,PSNN_wSurrGPT_wFaults_cbf_run5,wFaults,cbf,test_roc_micro_auc_mode_none,0.8363000154495239,none
153,PSNN_wSurrGPT_wFaults_cbf_run5,wFaults,cbf,test_roc_micro_auc_mode_single,0.6585000157356262,single
154,PSNN_wSurrGPT_woFaults_balancescale_run1,woFaults,balancescale,test_acc_mode_none,0.797468364238739,
155,PSNN_wSurrGPT_woFaults_balancescale_run1,woFaults,balancescale,test_acc_mode_single,0.797468364238739,
156,PSNN_wSurrGPT_woFaults_balancescale_run1,woFaults,balancescale,val_loss,0.8063349723815918,
