,run,method,dataset,metric,value
86,PSNN_wSurrGPT_woFaults_balancescale_run2,woFaults,balancescale,val_power,0.003339619841426611
87,PSNN_wSurrGPT_wFaults_balancescale_run2,wFaults,balancescale,test_acc_mode_none,0.8607594966888428
88,PSNN_wSurrGPT_wFaults_balancescale_run2,wFaults,balancescale,test_acc_mode_single,0.8607594966888428
89,PSNN_wSurrGPT_wFaults_balancescale_run2,wFaults,balancescale,val_power,0.0033237740863114595
90,PSNN_wSurrGPT_woFaults_distalphalanxtw_run2,woFaults,distalphalanxtw,test_acc_mode_none,0.4600000083446502
91,PSNN_wSurrGPT_woFaults_distalphalanxtw_run2,woFaults,distalphalanxtw,test_acc_mode_single,0.4600000083446502
92,PSNN_wSurrGPT_woFaults_distalphalanxtw_run2,woFaults,distalphalanxtw,val_power,0.0016478479374200106
93,PSNN_wSurrGPT_wFaults_distalphalanxtw_run2,wFaults,distalphalanxtw,test_acc_mode_none,0.4600000083446502
94,PSNN_wSurrGPT_wFaults_distalphalanxtw_run2,wFaults,distalphalanxtw,test_acc_mode_single,0.4600000083446502
95,PSNN_wSurrGPT_wFaults_distalphalanxtw_run2,wFaults,distalphalanxtw,val_power,0.0017506101867184043
96,PSNN_wSurrGPT_woFaults_balancescale_run3,woFaults,balancescale,test_acc_mode_none,0.7215189933776855
97,PSNN_wSurrGPT_woFaults_balancescale_run3,woFaults,balancescale,test_acc_mode_single,0.746835470199585
98,PSNN_wSurrGPT_woFaults_balancescale_run3,woFaults,balancescale,val_power,0.0043797725811600685
99,PSNN_wSurrGPT_woFaults_distalphalanxtw_run3,woFaults,distalphalanxtw,test_acc_mode_none,0.4600000083446502
100,PSNN_wSurrGPT_woFaults_distalphalanxtw_run3,woFaults,distalphalanxtw,test_acc_mode_single,0.4600000083446502
101,PSNN_wSurrGPT_woFaults_distalphalanxtw_run3,woFaults,distalphalanxtw,val_power,0.0016570733860135078
102,PSNN_wSurrGPT_wFaults_distalphalanxtw_run3,wFaults,distalphalanxtw,test_acc_mode_none,0.4600000083446502
103,PSNN_wSurrGPT_wFaults_distalphalanxtw_run3,wFaults,distalphalanxtw,test_acc_mode_single,0.4600000083446502
104,PSNN_wSurrGPT_wFaults_distalphalanxtw_run3,wFaults,distalphalanxtw,val_power,0.0009264100226573646
105,PSNN_wSurrGPT_wFaults_balancescale_run3,wFaults,balancescale,test_acc_mode_none,0.7088607549667358
106,PSNN_wSurrGPT_wFaults_balancescale_run3,wFaults,balancescale,test_acc_mode_single,0.7721518874168396
107,PSNN_wSurrGPT_wFaults_balancescale_run3,wFaults,balancescale,val_power,0.005335042718797922
108,PSNN_wSurrGPT_woFaults_distalphalanxtw_run4,woFaults,distalphalanxtw,test_acc_mode_none,0.4600000083446502
109,PSNN_wSurrGPT_woFaults_distalphalanxtw_run4,woFaults,distalphalanxtw,test_acc_mode_single,0.4600000083446502
110,PSNN_wSurrGPT_woFaults_distalphalanxtw_run4,woFaults,distalphalanxtw,val_power,0.0028078234754502773
111,PSNN_wSurrGPT_wFaults_distalphalanxtw_run4,wFaults,distalphalanxtw,test_acc_mode_none,0.4600000083446502
112,PSNN_wSurrGPT_wFaults_distalphalanxtw_run4,wFaults,distalphalanxtw,test_acc_mode_single,0.4600000083446502
113,PSNN_wSurrGPT_wFaults_distalphalanxtw_run4,wFaults,distalphalanxtw,val_power,0.011324649676680563
114,PSNN_wSurrGPT_woFaults_balancescale_run4,woFaults,balancescale,val_power,0.0005300336051732302
115,PSNN_wSurrGPT_woFaults_distalphalanxtw_run5,woFaults,distalphalanxtw,val_power,0.004057678394019604
116,PSNN_wSurrGPT_wFaults_distalphalanxtw_run5,wFaults,distalphalanxtw,val_power,0.00020850103464908895
117,PSNN_wSurrGPT_wFaults_balancescale_run4,wFaults,balancescale,val_power,0.00045496292295865715
