run_name,fault_mode,power_usage
PSNN_wSurrGPT_woFaults_acuteinflammation_run5,single_fault,5.738825384469237e-05
PSNN_wSurrGPT_woFaults_acuteinflammation_run5,no_fault,5.7166700571542606e-05
PSNN_wSurrGPT_woFaults_acuteinflammation_run6,single_fault,5.92526288528461e-05
PSNN_wSurrGPT_woFaults_acuteinflammation_run6,no_fault,5.862743273610249e-05
PSNN_wSurrGPT_woFaults_balancescale_run1,single_fault,0.0019897217280231416
PSNN_wSurrGPT_woFaults_balancescale_run1,no_fault,0.001681129273492843
PSNN_wSurrGPT_woFaults_balancescale_run2,single_fault,0.003422238281928003
PSNN_wSurrGPT_woFaults_balancescale_run2,no_fault,0.0033413571072742343
PSNN_wSurrGPT_woFaults_balancescale_run3,single_fault,0.005029082950204611
PSNN_wSurrGPT_woFaults_balancescale_run3,no_fault,0.004994549555703998
PSNN_wSurrGPT_woFaults_balancescale_run4,single_fault,0.0008283808769192546
PSNN_wSurrGPT_woFaults_balancescale_run4,no_fault,0.0006648111739195883
PSNN_wSurrGPT_woFaults_cbf_run1,single_fault,0.0012111063115298748
PSNN_wSurrGPT_woFaults_cbf_run1,no_fault,0.001140997395850718
PSNN_wSurrGPT_woFaults_cbf_run2,single_fault,0.0016333824256435036
PSNN_wSurrGPT_woFaults_cbf_run2,no_fault,0.0016234145732596517
PSNN_wSurrGPT_woFaults_cbf_run3,single_fault,0.0011812944314442575
PSNN_wSurrGPT_woFaults_cbf_run3,no_fault,0.001055282074958086
PSNN_wSurrGPT_woFaults_cbf_run4,single_fault,0.0025693771662190557
PSNN_wSurrGPT_woFaults_cbf_run4,no_fault,0.0024517960846424103
PSNN_wSurrGPT_woFaults_cbf_run5,single_fault,0.0025292384787462653
PSNN_wSurrGPT_woFaults_cbf_run5,no_fault,0.002479623770341277
PSNN_wSurrGPT_woFaults_cbf_run6,single_fault,0.0037603169097565115
PSNN_wSurrGPT_woFaults_cbf_run6,no_fault,0.0035723099717870355
PSNN_wSurrGPT_woFaults_distalphalanxtw_run1,single_fault,0.006687357160262764
PSNN_wSurrGPT_woFaults_distalphalanxtw_run1,no_fault,0.0066481344401836395
PSNN_wSurrGPT_woFaults_distalphalanxtw_run2,single_fault,0.00167335529695265
PSNN_wSurrGPT_woFaults_distalphalanxtw_run2,no_fault,0.0016481369966641068
PSNN_wSurrGPT_woFaults_distalphalanxtw_run3,single_fault,0.0016652035003062338
PSNN_wSurrGPT_woFaults_distalphalanxtw_run3,no_fault,0.0016573599423281848
PSNN_wSurrGPT_woFaults_distalphalanxtw_run4,single_fault,0.0027341610519215466
PSNN_wSurrGPT_woFaults_distalphalanxtw_run4,no_fault,0.0027102273888885975
PSNN_wSurrGPT_woFaults_distalphalanxtw_run5,single_fault,0.004936521267518401
PSNN_wSurrGPT_woFaults_distalphalanxtw_run5,no_fault,0.0048085968010127544
PSNN_wSurrGPT_woFaults_distalphalanxtw_run6,single_fault,0.0016336576838511974
PSNN_wSurrGPT_woFaults_distalphalanxtw_run6,no_fault,0.0015573599957861006
PSNN_wSurrGPT_woFaults_energyy1_run1,single_fault,0.0014048499637283386
PSNN_wSurrGPT_woFaults_energyy1_run1,no_fault,0.0013697100803256035
PSNN_wSurrGPT_woFaults_energyy1_run2,single_fault,0.003823981108143926
PSNN_wSurrGPT_woFaults_energyy1_run2,no_fault,0.0037303760182112455
PSNN_wSurrGPT_woFaults_gunpointoldversusyoung_run1,single_fault,0.0021291699551511554
PSNN_wSurrGPT_woFaults_gunpointoldversusyoung_run1,no_fault,0.002043432672508061
PSNN_wSurrGPT_woFaults_gunpointoldversusyoung_run2,single_fault,0.00833189815748483
PSNN_wSurrGPT_woFaults_gunpointoldversusyoung_run2,no_fault,0.006975255440920591
PSNN_wSurrGPT_woFaults_gunpointoldversusyoung_run3,single_fault,0.0024845803622156382
PSNN_wSurrGPT_woFaults_gunpointoldversusyoung_run3,no_fault,0.0024525377666577697
PSNN_wSurrGPT_woFaults_gunpointoldversusyoung_run4,single_fault,0.0014833057299256324
PSNN_wSurrGPT_woFaults_gunpointoldversusyoung_run4,no_fault,0.001138675317633897
PSNN_wSurrGPT_woFaults_gunpointoldversusyoung_run5,single_fault,0.0012051378260366618
PSNN_wSurrGPT_woFaults_gunpointoldversusyoung_run5,no_fault,0.0011591534712351859
PSNN_wSurrGPT_woFaults_powercons_run1,single_fault,2.5739112788869534e-05
PSNN_wSurrGPT_woFaults_powercons_run1,no_fault,2.243494145659497e-05
PSNN_wSurrGPT_woFaults_powercons_run3,single_fault,9.047377679962664e-05
PSNN_wSurrGPT_woFaults_powercons_run3,no_fault,8.262541814474389e-05
PSNN_wSurrGPT_woFaults_powercons_run4,single_fault,0.0005427044961834326
PSNN_wSurrGPT_woFaults_powercons_run4,no_fault,0.00029637807165272534
PSNN_wSurrGPT_woFaults_powercons_run5,single_fault,9.557296143611894e-05
PSNN_wSurrGPT_woFaults_powercons_run5,no_fault,8.964276275946759e-05
PSNN_wSurrGPT_woFaults_powercons_run6,single_fault,3.197034830009216e-05
PSNN_wSurrGPT_woFaults_powercons_run6,no_fault,2.4673108782735653e-05
PSNN_wSurrGPT_woFaults_seeds_run1,single_fault,4.2446719453437255e-05
PSNN_wSurrGPT_woFaults_seeds_run1,no_fault,4.048016853630543e-05
PSNN_wSurrGPT_woFaults_seeds_run2,single_fault,0.0010670715477317573
PSNN_wSurrGPT_woFaults_seeds_run2,no_fault,0.0010594092309474945
PSNN_wSurrGPT_woFaults_seeds_run3,single_fault,1.8544719205237924e-05
PSNN_wSurrGPT_woFaults_seeds_run3,no_fault,1.6185476852115244e-05
PSNN_wSurrGPT_woFaults_seeds_run4,single_fault,0.00020661881571868435
PSNN_wSurrGPT_woFaults_seeds_run4,no_fault,0.00018320059461984783
PSNN_wSurrGPT_woFaults_seeds_run5,single_fault,0.005592489428818226
PSNN_wSurrGPT_woFaults_seeds_run5,no_fault,0.005566992796957493
PSNN_wSurrGPT_woFaults_seeds_run6,single_fault,7.471235367120243e-05
PSNN_wSurrGPT_woFaults_seeds_run6,no_fault,6.518467125715688e-05
PSNN_wSurrGPT_woFaults_selfregulationscp2_run1,single_fault,0.00016364563125534915
PSNN_wSurrGPT_woFaults_selfregulationscp2_run1,no_fault,0.00014285273937275633
PSNN_wSurrGPT_woFaults_selfregulationscp2_run2,single_fault,3.148393825540552e-05
PSNN_wSurrGPT_woFaults_selfregulationscp2_run2,no_fault,2.7437006792752072e-05
PSNN_wSurrGPT_woFaults_selfregulationscp2_run3,single_fault,6.217507871042471e-05
PSNN_wSurrGPT_woFaults_selfregulationscp2_run3,no_fault,5.179496292839758e-05
PSNN_wSurrGPT_woFaults_selfregulationscp2_run4,single_fault,4.411967001942685e-05
