,run,method,dataset,metric,value
440,PSNN_wSurrGPT_wFaults_freezersmalltrain_run4,wFaults,freezersmalltrain,val_power,0.001700695720501244
441,PSNN_wSurrGPT_wFaults_gunpointmaleversusfemale_run4,wFaults,gunpointmaleversusfemale,test_acc_mode_none,0.6373626589775085
442,PSNN_wSurrGPT_wFaults_gunpointmaleversusfemale_run4,wFaults,gunpointmaleversusfemale,test_acc_mode_single,0.6153846383094788
443,PSNN_wSurrGPT_wFaults_gunpointmaleversusfemale_run4,wFaults,gunpointmaleversusfemale,val_power,0.0044331736862659454
444,PSNN_wSurrGPT_woFaults_freezersmalltrain_run4,woFaults,freezersmalltrain,test_acc_mode_none,0.4600000083446502
445,PSNN_wSurrGPT_woFaults_freezersmalltrain_run4,woFaults,freezersmalltrain,test_acc_mode_single,0.4600000083446502
446,PSNN_wSurrGPT_woFaults_freezersmalltrain_run4,woFaults,freezersmalltrain,val_power,0.0003064494230784476
447,PSNN_wSurrGPT_woFaults_proximalphalanxoutlinecorrect_run4,woFaults,proximalphalanxoutlinecorrect,test_acc_mode_none,0.6600000262260437
448,PSNN_wSurrGPT_woFaults_proximalphalanxoutlinecorrect_run4,woFaults,proximalphalanxoutlinecorrect,test_acc_mode_single,0.6600000262260437
449,PSNN_wSurrGPT_woFaults_proximalphalanxoutlinecorrect_run4,woFaults,proximalphalanxoutlinecorrect,val_power,0.0007684134179726243
450,PSNN_wSurrGPT_wFaults_energyy1_run2,wFaults,energyy1,test_acc_mode_none,0.8481012582778931
451,PSNN_wSurrGPT_wFaults_energyy1_run2,wFaults,energyy1,test_acc_mode_single,0.8481012582778931
452,PSNN_wSurrGPT_wFaults_energyy1_run2,wFaults,energyy1,val_power,0.0031468600500375032
453,PSNN_wSurrGPT_woFaults_energyy1_run2,woFaults,energyy1,test_acc_mode_none,0.8481012582778931
454,PSNN_wSurrGPT_woFaults_energyy1_run2,woFaults,energyy1,test_acc_mode_single,0.8481012582778931
455,PSNN_wSurrGPT_woFaults_energyy1_run2,woFaults,energyy1,val_power,0.0035542999394237995
456,PSNN_wSurrGPT_woFaults_iris_run5,woFaults,iris,test_acc_mode_none,0.32258063554763794
457,PSNN_wSurrGPT_woFaults_iris_run5,woFaults,iris,test_acc_mode_single,0.32258063554763794
458,PSNN_wSurrGPT_woFaults_iris_run5,woFaults,iris,val_power,0.002791274106130004
459,PSNN_wSurrGPT_wFaults_energyy2_run2,wFaults,energyy2,test_acc_mode_none,0.5189873576164246
460,PSNN_wSurrGPT_wFaults_energyy2_run2,wFaults,energyy2,test_acc_mode_single,0.5189873576164246
461,PSNN_wSurrGPT_wFaults_energyy2_run2,wFaults,energyy2,val_power,0.0019271993078291416
462,PSNN_wSurrGPT_wFaults_iris_run5,wFaults,iris,test_acc_mode_none,0.32258063554763794
463,PSNN_wSurrGPT_wFaults_iris_run5,wFaults,iris,test_acc_mode_single,0.32258063554763794
464,PSNN_wSurrGPT_wFaults_iris_run5,wFaults,iris,val_power,0.0009223889210261405
465,PSNN_wSurrGPT_wFaults_vertebralcolumn2clases_run4,wFaults,vertebralcolumn2clases,test_acc_mode_none,0.6349206566810608
466,PSNN_wSurrGPT_wFaults_vertebralcolumn2clases_run4,wFaults,vertebralcolumn2clases,test_acc_mode_single,0.6349206566810608
467,PSNN_wSurrGPT_wFaults_vertebralcolumn2clases_run4,wFaults,vertebralcolumn2clases,val_power,0.000597624690271914
468,PSNN_wSurrGPT_woFaults_vertebralcolumn2clases_run4,woFaults,vertebralcolumn2clases,test_acc_mode_none,0.6349206566810608
469,PSNN_wSurrGPT_woFaults_vertebralcolumn2clases_run4,woFaults,vertebralcolumn2clases,test_acc_mode_single,0.6349206566810608
470,PSNN_wSurrGPT_woFaults_vertebralcolumn2clases_run4,woFaults,vertebralcolumn2clases,val_power,0.004962026607245207
471,PSNN_wSurrGPT_wFaults_proximalphalanxoutlinecorrect_run5,wFaults,proximalphalanxoutlinecorrect,test_acc_mode_none,0.6600000262260437
472,PSNN_wSurrGPT_wFaults_proximalphalanxoutlinecorrect_run5,wFaults,proximalphalanxoutlinecorrect,test_acc_mode_single,0.6600000262260437
473,PSNN_wSurrGPT_wFaults_proximalphalanxoutlinecorrect_run5,wFaults,proximalphalanxoutlinecorrect,val_power,0.000310749834170565
474,PSNN_wSurrGPT_woFaults_iris_run6,woFaults,iris,test_acc_mode_none,0.32258063554763794
475,PSNN_wSurrGPT_woFaults_iris_run6,woFaults,iris,test_acc_mode_single,0.32258063554763794
476,PSNN_wSurrGPT_woFaults_iris_run6,woFaults,iris,val_power,0.0007187991286627948
477,PSNN_wSurrGPT_wFaults_freezersmalltrain_run5,wFaults,freezersmalltrain,test_acc_mode_none,0.5400000214576721
478,PSNN_wSurrGPT_wFaults_freezersmalltrain_run5,wFaults,freezersmalltrain,test_acc_mode_single,0.5199999809265137
479,PSNN_wSurrGPT_wFaults_freezersmalltrain_run5,wFaults,freezersmalltrain,val_power,0.004269156139343977
480,PSNN_wSurrGPT_wFaults_iris_run6,wFaults,iris,test_acc_mode_none,0.32258063554763794
481,PSNN_wSurrGPT_wFaults_iris_run6,wFaults,iris,test_acc_mode_single,0.32258063554763794
482,PSNN_wSurrGPT_wFaults_iris_run6,wFaults,iris,val_power,0.00045465101720765233
483,PSNN_wSurrGPT_woFaults_gunpointmaleversusfemale_run5,woFaults,gunpointmaleversusfemale,test_acc_mode_none,0.6703296899795532
484,PSNN_wSurrGPT_woFaults_gunpointmaleversusfemale_run5,woFaults,gunpointmaleversusfemale,test_acc_mode_single,0.6483516693115234
485,PSNN_wSurrGPT_woFaults_gunpointmaleversusfemale_run5,woFaults,gunpointmaleversusfemale,val_power,0.406688004732132
486,PSNN_wSurrGPT_wFaults_gunpointmaleversusfemale_run5,wFaults,gunpointmaleversusfemale,test_acc_mode_none,0.6373626589775085
487,PSNN_wSurrGPT_wFaults_gunpointmaleversusfemale_run5,wFaults,gunpointmaleversusfemale,test_acc_mode_single,0.7252747416496277
488,PSNN_wSurrGPT_wFaults_gunpointmaleversusfemale_run5,wFaults,gunpointmaleversusfemale,val_power,0.004642457235604525
489,PSNN_wSurrGPT_woFaults_proximalphalanxoutlinecorrect_run5,woFaults,proximalphalanxoutlinecorrect,test_acc_mode_none,0.6600000262260437
490,PSNN_wSurrGPT_woFaults_proximalphalanxoutlinecorrect_run5,woFaults,proximalphalanxoutlinecorrect,test_acc_mode_single,0.6600000262260437
491,PSNN_wSurrGPT_woFaults_proximalphalanxoutlinecorrect_run5,woFaults,proximalphalanxoutlinecorrect,val_power,0.0012712388997897506
492,PSNN_wSurrGPT_woFaults_freezersmalltrain_run5,woFaults,freezersmalltrain,test_acc_mode_none,0.5400000214576721
493,PSNN_wSurrGPT_woFaults_freezersmalltrain_run5,woFaults,freezersmalltrain,test_acc_mode_single,0.5400000214576721
494,PSNN_wSurrGPT_woFaults_freezersmalltrain_run5,woFaults,freezersmalltrain,val_power,0.0005375780165195465
495,PSNN_wSurrGPT_wFaults_vertebralcolumn2clases_run5,wFaults,vertebralcolumn2clases,test_acc_mode_none,0.6349206566810608
496,PSNN_wSurrGPT_wFaults_vertebralcolumn2clases_run5,wFaults,vertebralcolumn2clases,test_acc_mode_single,0.6349206566810608
497,PSNN_wSurrGPT_wFaults_vertebralcolumn2clases_run5,wFaults,vertebralcolumn2clases,val_power,0.0007013017311692238
498,PSNN_wSurrGPT_woFaults_vertebralcolumn2clases_run5,woFaults,vertebralcolumn2clases,test_acc_mode_none,0.6349206566810608
499,PSNN_wSurrGPT_woFaults_vertebralcolumn2clases_run5,woFaults,vertebralcolumn2clases,test_acc_mode_single,0.6349206566810608
500,PSNN_wSurrGPT_woFaults_vertebralcolumn2clases_run5,woFaults,vertebralcolumn2clases,val_power,0.0662299171090126
501,PSNN_wSurrGPT_wFaults_proximalphalanxoutlinecorrect_run6,wFaults,proximalphalanxoutlinecorrect,test_acc_mode_none,0.6600000262260437
502,PSNN_wSurrGPT_wFaults_proximalphalanxoutlinecorrect_run6,wFaults,proximalphalanxoutlinecorrect,test_acc_mode_single,0.6600000262260437
503,PSNN_wSurrGPT_wFaults_proximalphalanxoutlinecorrect_run6,wFaults,proximalphalanxoutlinecorrect,val_power,0.0005721827037632465
504,PSNN_wSurrGPT_wFaults_freezersmalltrain_run6,wFaults,freezersmalltrain,test_acc_mode_none,0.4600000083446502
505,PSNN_wSurrGPT_wFaults_freezersmalltrain_run6,wFaults,freezersmalltrain,test_acc_mode_single,0.4600000083446502
506,PSNN_wSurrGPT_wFaults_freezersmalltrain_run6,wFaults,freezersmalltrain,val_power,0.005784122738987207
507,PSNN_wSurrGPT_woFaults_gunpointmaleversusfemale_run6,woFaults,gunpointmaleversusfemale,test_acc_mode_none,0.6813187003135681
508,PSNN_wSurrGPT_woFaults_gunpointmaleversusfemale_run6,woFaults,gunpointmaleversusfemale,test_acc_mode_single,0.692307710647583
509,PSNN_wSurrGPT_woFaults_gunpointmaleversusfemale_run6,woFaults,gunpointmaleversusfemale,val_power,0.002304115565493703
510,PSNN_wSurrGPT_wFaults_gunpointmaleversusfemale_run6,wFaults,gunpointmaleversusfemale,test_acc_mode_none,0.6593406796455383
511,PSNN_wSurrGPT_wFaults_gunpointmaleversusfemale_run6,wFaults,gunpointmaleversusfemale,test_acc_mode_single,0.6593406796455383
512,PSNN_wSurrGPT_wFaults_gunpointmaleversusfemale_run6,wFaults,gunpointmaleversusfemale,val_power,0.005593453533947468
513,PSNN_wSurrGPT_woFaults_proximalphalanxoutlinecorrect_run6,woFaults,proximalphalanxoutlinecorrect,test_acc_mode_none,0.6600000262260437
514,PSNN_wSurrGPT_woFaults_proximalphalanxoutlinecorrect_run6,woFaults,proximalphalanxoutlinecorrect,test_acc_mode_single,0.6600000262260437
515,PSNN_wSurrGPT_woFaults_proximalphalanxoutlinecorrect_run6,woFaults,proximalphalanxoutlinecorrect,val_power,0.003024771809577942
516,PSNN_wSurrGPT_woFaults_freezersmalltrain_run6,woFaults,freezersmalltrain,test_acc_mode_none,0.4600000083446502
517,PSNN_wSurrGPT_woFaults_freezersmalltrain_run6,woFaults,freezersmalltrain,test_acc_mode_single,0.4600000083446502
518,PSNN_wSurrGPT_woFaults_freezersmalltrain_run6,woFaults,freezersmalltrain,val_power,0.0014093193458393216
519,PSNN_wSurrGPT_wFaults_vertebralcolumn2clases_run6,wFaults,vertebralcolumn2clases,test_acc_mode_none,0.6349206566810608
520,PSNN_wSurrGPT_wFaults_vertebralcolumn2clases_run6,wFaults,vertebralcolumn2clases,test_acc_mode_single,0.6349206566810608
521,PSNN_wSurrGPT_wFaults_vertebralcolumn2clases_run6,wFaults,vertebralcolumn2clases,val_power,0.0007525777327828109
522,PSNN_wSurrGPT_woFaults_tictactoe_run3,woFaults,tictactoe,test_acc_mode_none,0.6835442781448364
523,PSNN_wSurrGPT_woFaults_tictactoe_run3,woFaults,tictactoe,test_acc_mode_single,0.6582278609275818
524,PSNN_wSurrGPT_woFaults_tictactoe_run3,woFaults,tictactoe,val_power,0.0025791034568101168
525,PSNN_wSurrGPT_wFaults_tictactoe_run3,wFaults,tictactoe,test_acc_mode_none,0.6962025165557861
526,PSNN_wSurrGPT_wFaults_tictactoe_run3,wFaults,tictactoe,test_acc_mode_single,0.6962025165557861
527,PSNN_wSurrGPT_wFaults_tictactoe_run3,wFaults,tictactoe,val_power,0.4195820987224579
